Image,Id,BW,W,H,AR
0000e88ab.jpg,w_f48451c,False,1050,700,1.5
0001f9222.jpg,w_c3d896a,False,758,325,2.332307692307692
00029d126.jpg,w_20df2c5,False,1050,497,2.112676056338028
00050a15a.jpg,new_whale,False,1050,525,2.0
0005c1ef8.jpg,new_whale,False,1050,525,2.0
0006e997e.jpg,new_whale,False,980,276,3.550724637681159
000a6daec.jpg,w_dd88965,False,1050,458,2.2925764192139737
000f0f2bf.jpg,new_whale,False,1050,700,1.5
0016b897a.jpg,w_64404ac,False,1050,450,2.3333333333333335
001c1ac5f.jpg,w_a6f9d33,False,1000,667,1.4992503748125936
001cae55b.jpg,w_581ba42,False,1050,476,2.2058823529411766
001d7450c.jpg,new_whale,True,1050,600,1.75
00200e115.jpg,new_whale,True,1050,600,1.75
00245a598.jpg,new_whale,False,1050,450,2.3333333333333335
002b4615d.jpg,new_whale,False,1050,492,2.1341463414634148
002f99f01.jpg,new_whale,False,886,590,1.5016949152542374
00355ff28.jpg,w_cb622a2,False,1050,285,3.6842105263157894
00357e37a.jpg,w_d3b46e7,False,1050,347,3.025936599423631
003795857.jpg,new_whale,False,1050,329,3.1914893617021276
0041880bf.jpg,new_whale,True,700,500,1.4
0043da555.jpg,new_whale,False,984,717,1.3723849372384938
00442c882.jpg,w_8cad422,False,918,525,1.7485714285714287
00464ff65.jpg,new_whale,False,1050,768,1.3671875
004775679.jpg,w_13ae3d4,False,1050,525,2.0
004ae9e26.jpg,new_whale,False,1050,305,3.442622950819672
004c0f43b.jpg,new_whale,True,1050,600,1.75
004e8ad5b.jpg,w_3de579a,False,1050,700,1.5
004f87702.jpg,w_1d0830e,False,1050,700,1.5
0050ef29d.jpg,w_2ba6978,False,1050,397,2.6448362720403025
00514c876.jpg,w_8dddbee,False,900,450,2.0
0052ce2f5.jpg,w_2365d55,False,1050,700,1.5
00537ec91.jpg,w_3879fa0,False,1050,700,1.5
00570db6b.jpg,w_9c506f6,False,1050,601,1.7470881863560732
005ce3100.jpg,new_whale,True,1050,600,1.75
00600ce17.jpg,new_whale,True,1050,600,1.75
006017ddf.jpg,w_8a6a8d5,False,1050,337,3.115727002967359
0060f764a.jpg,w_662530e,False,1050,283,3.7102473498233217
006500b3d.jpg,w_a8b34a0,False,1050,283,3.7102473498233217
006506edf.jpg,new_whale,False,1050,412,2.5485436893203883
0067b3a20.jpg,w_c0d11da,False,1050,690,1.5217391304347827
006bdc6ff.jpg,new_whale,False,1050,450,2.3333333333333335
00713060e.jpg,w_50e8d58,False,1050,460,2.282608695652174
007218187.jpg,new_whale,False,1032,688,1.5
0073118da.jpg,w_3881f28,False,1050,409,2.567237163814181
007a7846f.jpg,w_9ad3551,False,1050,412,2.5485436893203883
007b62e05.jpg,w_cee684e,False,1050,600,1.75
007f3eb46.jpg,w_41d24c6,False,1050,410,2.5609756097560976
008124524.jpg,w_8a235b6,False,1050,307,3.420195439739414
0084fe40b.jpg,w_2e231f4,False,677,227,2.9823788546255505
0085064af.jpg,new_whale,False,878,442,1.9864253393665159
0085a6bd0.jpg,new_whale,False,912,608,1.5
00869b59e.jpg,new_whale,False,818,490,1.6693877551020408
008bf89fc.jpg,w_6822dbc,False,1050,600,1.75
008ebc50d.jpg,w_df86a42,False,1050,450,2.3333333333333335
00910010d.jpg,w_700ebb4,False,1050,700,1.5
